miRNA,SRR12344552_trim_joined
Hsa-Let-7-P10_3p*,9.7002
Hsa-Let-7-P10_5p/7-P5_5p,20530.3853
Hsa-Let-7-P11_3p*,4.2034
Hsa-Let-7-P11_5p,3672.1566
Hsa-Let-7-P12_3p*,38.154
Hsa-Let-7-P12_5p,7250.8684
Hsa-Let-7-P1_3p*,0.0
Hsa-Let-7-P1_5p/7-P3_5p/7-P6_5p/7-P7_5p,7808.6275
Hsa-Let-7-P2_3p*,3.2334
Hsa-Let-7-P2_5p,185.5964
Hsa-Let-7-P3_3p*,0.0
Hsa-Let-7-P4_3p*,597.8531
Hsa-Let-7-P4_5p,915.0483
Hsa-Let-7-P5_3p*,5.8201
Hsa-Let-7-P6_3p*/7-P7_3p*,26.8371
Hsa-Let-7-P8_3p*,32.9805
Hsa-Let-7-P8_5p,3140.9113
Hsa-Let-7-P9_3p*,0.0
Hsa-Let-7-P9_5p,301.9983
Hsa-Mir-1-P1_3p/1-P2_3p,0.0
Hsa-Mir-1-P1_5p*,0.0
Hsa-Mir-1-P2_5p*,0.0
Hsa-Mir-1-P3_3p,0.0
Hsa-Mir-1-P3_5p*,0.0
Hsa-Mir-10-P1a-v1_3p*/10-P1a-v2_3p*,2.5867
Hsa-Mir-10-P1a-v1_5p/10-P1a-v2_5p,4707.4869
Hsa-Mir-10-P1b-v1_3p*/10-P1b-v2_3p*,6.1434
Hsa-Mir-10-P1b-v1_5p/10-P1b-v2_5p,12695.8907
Hsa-Mir-10-P2a_3p*,0.0
Hsa-Mir-10-P2a_5p,213.7268
Hsa-Mir-10-P2b_3p*,3.8801
Hsa-Mir-10-P2b_5p,71.7812
Hsa-Mir-10-P2c_3p*,8.4068
Hsa-Mir-10-P2c_5p,355.0258
Hsa-Mir-10-P3a_3p*,16.8136
Hsa-Mir-10-P3a_5p,694.208
Hsa-Mir-10-P3b_3p*,0.0
Hsa-Mir-10-P3b_5p/10-P3c_5p,115.7552
Hsa-Mir-10-P3c_3p*,35.5672
Hsa-Mir-101-P1-v1_3p/101-P1-v2_3p/101-P2-v1_3p/101-P2-v2_3p,6469.6823
Hsa-Mir-101-P1-v1_5p*/101-P1-v2_5p*,13.2569
Hsa-Mir-101-P2-v1_5p*/101-P2-v2_5p*,0.0
Hsa-Mir-103-P1_3p/103-P2_3p/103-P3_3p,8171.7368
Hsa-Mir-103-P1_5p*/103-P2_5p*,0.0
Hsa-Mir-103-P3_5p*,0.0
Hsa-Mir-105-P1_3p*/105-P2_3p*,0.0
Hsa-Mir-105-P1_5p/105-P2_5p,0.0
Hsa-Mir-1179_3p*,0.0
Hsa-Mir-1179_5p,0.0
Hsa-Mir-1180_3p,34.5972
Hsa-Mir-1180_5p*,0.0
Hsa-Mir-122_3p*,2.91
Hsa-Mir-122_5p,38.154
Hsa-Mir-124-P1-v1_3p/124-P1-v2_3p/124-P2-v1_3p/124-P2-v2_3p/124-P3-v1_3p/124-P3-v2_3p,0.6467
Hsa-Mir-124-P1-v1_5p*/124-P1-v2_5p*/124-P2-v1_5p*/124-P2-v2_5p*/124-P3-v1_5p*/124-P3-v2_5p*,0.0
Hsa-Mir-1245_3p*,0.0
Hsa-Mir-1245_5p,0.0
Hsa-Mir-1247_3p*,0.0
Hsa-Mir-1247_5p,0.0
Hsa-Mir-1249_3p,2.2634
Hsa-Mir-1249_5p*,0.0
Hsa-Mir-1251_3p*,0.0
Hsa-Mir-1251_5p,0.0
Hsa-Mir-1252_3p*,0.0
