file	tRNA	tRNAPer	Catted	Position	perCovg	base
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	1	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	2	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	3	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	4	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	5	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	6	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	7	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	8	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	9	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	10	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	11	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	12	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	13	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	14	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	15	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	16	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	17	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	18	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	19	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	20	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	21	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	22	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	23	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	24	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	25	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	26	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	27	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	28	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	29	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	30	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	31	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	32	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	33	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	34	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	35	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	36	0.000	A
